wav_filename,wav_filesize,transcript
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_00.wav,122444,setyuj ecfxsr jiufkr wggion rwrlkr xraeqj gnrxdh ijpxp qatl npsvkr
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_01.wav,73580,eyogmj cludmv elkwtd rwrlkr fpvswn ildtcb lvoikf
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_02.wav,65932,lvoikf pdoimr gyqjoz nntqbh upuoir dvrfwb
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_03.wav,35660,twcmsv fmisab lrvppp hgswyr
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_04.wav,90988,elkwtd seogwf yflryn tfgkez pgpzmv isduuz vxbjob fmisab apwdbd
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_05.wav,127788,elkwtd vrdtlx cibksf nqefh rlbxen vgkyyj nqefh xxjeov rlbxen
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_06.wav,57164,elkwtd lfjhqv rlbxen pdoimr kddiuz seogwf
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_07.wav,65868,vgkyyj snnnyn rlbxen hgswyr czzywv ofmmht xxjeov
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_08.wav,292588,elkwtd btennt rlbxen ethser wznaib btennt hgswyr ethser optwyz nqefh qiqgkn apwdbd nqefh jbzvpx dizfzd hlcrnt pdoimr ghuhbd kftpyv ninbtp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_09.wav,217740,elkwtd vrdtlx egvkfx vxbjob kkdknx egeill cibksf nqefh gyqjoz olkcjx tkyiiz vxbjob czzywv ethser apwdbd uomktt
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_10.wav,353100,elkwtd vgkyyj fpvswn baoxor gyqjoz olkcjx tkyiiz gyqjoz olkcjx ckxjuf uomktt seogwf vxbjob gyqjoz olkcjx ckxjuf apwdbd seogwf vxbjob czzywv ofmmht xxjeov pewmbp vgkyyj hlcrnt axsymr jmboj xxjeov
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_11.wav,167276,elkwtd btennt gyqjoz olkcjx ethser ildtcb nqefh qiqgkn apwdbd nqefh jbzvpx dizfzd pdoimr ijpxp xigpmf ninbtp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_12.wav,29260,elkwtd vrdtlx
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_13.wav,131788,ildtcb uomktt seogwf vxbjob cibksf rjobrl isduuz kftpyv ogupwr joxnkz fwqcrh lvoikf dybvbt baoxor utyqzp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_14.wav,56300,pewmbp vgkyyj hlcrnt axsymr jmboj xxjeov
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_15.wav,63980,elkwtd btennt fwqcrh lvoikf ethser lvoikf
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_16.wav,266444,btennt vxbjob seogwf rjobrl ogupwr ethser abexuv elkwtd lfjhqv jbudrt pdoimr kddiuz seogwf elkwtd vrdtlx lvoikf cibksf diieer jmhghd asmkf uijctl
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_17.wav,424172,musqfx viemjp wdvtiv pcamzp seogwf iedrjd fvzawv vqybnt viemjp fcgzgz pcamzp seogwf ujfwmb idmpor paybiv wgmamr hheguz dwihqn fcgzgz pcamzp afdinp pyonrl jbudrt srggtd pewmbp vgkyyj hlcrnt axsymr jmboj xxjeov
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_18.wav,66828,xnndtx pdoimr lvoikf diieer jmhghd xxjeov asmkf uijctl
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_19.wav,442988,musqfx viemjp wdvtiv pcamzp seogwf iedrjd fvzawv paybiv wgmamr hheguz dwihqn vqybnt viemjp fcgzgz pcamzp seogwf ujfwmb idmpor paybiv wgmamr hheguz dwihqn fcgzgz pcamzp afdinp pyonrl jbudrt srggtd
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_20.wav,170668,elkwtd lfjhqv jbudrt pdoimr kddiuz seogwf nqefh qiqgkn apwdbd nqefh jbzvpx dizfzd
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_21.wav,38444,pdoimr ijpxp aexqpl ninbtp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_22.wav,331020,elkwtd vrdtlx ildtcb apwdbd cibksf nqefh rlbxen wjzbjd inoiht ckxjuf czzywv wznaib optwyz rbloht gnrxdh ukoaaz oxwkir mwrvph pppgpd ninbtp pcamzp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_23.wav,10892,uxlrwb xubvqn
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_24.wav,236716,vqybnt cibksf diieer rlbxen isduuz ildtcb gyqjoz pjlyov liwinh isduuz lvoikf apwdbd pewmbp vgkyyj hlcrnt axsymr jmboj xxjeov
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_25.wav,284268,xnndtx pdoimr elkwtd fpvswn xxjeov waucir kzlror xkfuvp rlbxen xkfuvp seogwf epjhlx wznaib xlnykn seogwf epjhlx optwyz adjvcj fpvswn navygf vufkmb
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_26.wav,585772,vgkyyj snnnyn hlcrnt juebsr rlbxen xcizkb ttmfp isduuz ildtcb gyqjoz pjlyov liwinh isduuz lvoikf apwdbd epjhlx uskvmn wznaib optwyz czzywv dafquz evxzin hgswyr elkwtd lfjhqv jbudrt pdoimr kddiuz seogwf nqefh qiqgkn apwdbd nqefh jbzvpx dizfzd pdoimr ijpxp rshqvp ninbtp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_27.wav,21996,elkwtd vrdtlx
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_28.wav,105804,vxbjob cibksf cdlyez cdlyez uzffhh jmhghd nqefh jmhghd fkdusn seogwf byqttp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_29.wav,162060,cibksf nqefh nlostt ybhphp abkpsz isduuz lvoikf fmisab ckxjuf apwdbd ildtcb gyqjoz kkdknx qhicvp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_30.wav,413036,elkwtd vgkyyj fpvswn baoxor xkfuvp bodref musqfx vxbjob qhicvp oaagbx uzffhh jmhghd paybiv axsymr nqefh jmhghd fkdusn seogwf iuztwz byqttp paybiv wgmamr hheguz dwihqn adjvcj fpvswn baoxor paybiv axsymr abkpsz ybhphp paybiv wgmamr hheguz dwihqn
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_31.wav,58796,elkwtd lfjhqv jbudrt pdoimr kddiuz seogwf
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_32.wav,539852,elkwtd vgkyyj baupmv acnbjt kuqndh hlcrnt kftpyv ipyxnl vrdtlx uzffhh jmhghd yhwhef cdlyez pyivth dljvev abexuv qhicvp seogwf vxbjob nlostt ybhphp tyyluv cibksf cdlyez jmhghd isduuz lvoikf apwdbd nqefh qiqgkn apwdbd nqefh jbzvpx dizfzd pdoimr ijpxp vvtfzd ninbtp
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_33.wav,441804,elkwtd vrdtlx lvoikf cibksf jmhghd baoxor towtbt byqttp utyqzp paybiv wgmamr hheguz dwihqn lpfilt bztfkj kppqtt tksqkv wdkjmn ospwb paybiv wgmamr hheguz dwihqn pewmbp vgkyyj hlcrnt axsymr jmboj xxjeov
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_34.wav,452364,xnndtx pdoimr elkwtd fpvswn baoxor wdkjmn ospwb paybiv wgmamr hheguz dwihqn lpfilt bztfkj paybiv wgmamr hheguz dwihqn lvoikf apwdbd kftpyv ipyxnl kppqtt tksqkv paybiv wgmamr hheguz dwihqn elkwtd lfjhqv jbudrt pdoimr kddiuz seogwf
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_35.wav,337612,elkwtd vrdtlx omxxx vslxav cibksf liwinh jbudrt omxxx vslxav seogwf felwon uarzgb ebovyf jbudrt omxxx vslxav seogwf axsymr wsyill fpvswn qfzzgr joxnkz vppxyv vslxav epjhlx uskvmn abexuv uwuqbp seogwf bodref
