wav_filename,wav_filesize,transcript
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_00.wav,122444,旧约全书创世记第1章
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_01.wav,73580,起初神创造天地
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_02.wav,65932,地是空虚混沌
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_03.wav,35660,渊面黑暗
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_04.wav,90988,神的灵运行在水面上
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_05.wav,127788,神说要有光就有了光
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_06.wav,57164,神看光是好的
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_07.wav,65868,就把光暗分开了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_08.wav,292588,神称光为昼称暗为夜有晚上有早晨这是头一日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_09.wav,217740,神说诸水之间要有空气将水分为上下
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_10.wav,353100,神就造出空气将空气以下的水空气以上的水分开了事就这样成了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_11.wav,167276,神称空气为天有晚上有早晨是第二日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_12.wav,29260,神说
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_13.wav,131788,天下的水要聚在一处使旱地露出来
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_14.wav,56300,事就这样成了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_15.wav,63980,神称旱地为地
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_16.wav,266444,称水的聚处为海神看着是好的神说地要发生青草
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_17.wav,424172,和结种子的菜蔬并结果子的树木各从其类果子都包着核事就这样成了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_18.wav,66828,于是地发生了青草
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_19.wav,442988,和结种子的菜蔬各从其类并结果子的树木各从其类果子都包着核
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_20.wav,170668,神看着是好的有晚上有早晨.
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_21.wav,38444,是第三日..
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_22.wav,331020,神说天上要有光体可以分昼夜作记号定节令日子........
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_23.wav,10892,年岁..
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_24.wav,236716,并要发光在天空普照在地上事就这样成了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_25.wav,284268,于是神造了两个大光大的管昼小的管夜又造众星
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_26.wav,585772,就把这些光摆列在天空普照在地上管理昼夜分别明暗神看着是好的有晚上有早晨是第四日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_27.wav,21996,神说
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_28.wav,105804,水要多多滋生有生命的物
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_29.wav,162060,要有雀鸟飞在地面以上天空之中
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_30.wav,413036,神就造出大鱼和水中所滋生各样有生命的动物各从其类又造出各样飞鸟各从其类
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_31.wav,58796,神看着是好的
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_32.wav,539852,神就赐福给这一切说滋生繁多充满海中的水雀鸟也要多生在地上有晚上有早晨是第五日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_33.wav,441804,神说地要生出活物来各从其类牲畜昆虫野兽各从其类事就这样成了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_34.wav,452364,于是神造出野兽各从其类牲畜各从其类地上一切昆虫各从其类神看着是好的
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_35.wav,337612,神说我们要照着我们的形像按着我们的样式造人使他们管理海里的鱼
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_36.wav,267020,空中的鸟地上的牲畜和全地并地上所爬的一切昆虫
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_37.wav,248620,神就照着自己的形像造人乃是照着他的形像造男造女
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_38.wav,62892,神就赐福给他们
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_39.wav,264396,又对他们说要生养众多遍满地面治理这地
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_40.wav,68044,也要管理海里的鱼
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_41.wav,160236,空中的鸟和地上各样行动的活物
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_42.wav,472332,神说看哪我将遍地上一切结种子的菜蔬和一切树上所结有核的果子全赐给你们作食物
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_43.wav,481484,至于地上的走兽和空中的飞鸟并各样爬在地上有生命的物我将青草赐给它们作食物事就这样成了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/01_chunk_44.wav,259980,神看着一切所造的都甚好有晚上有早晨是第六日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_00.wav,60204,创世记第2章
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_01.wav,78028,天地万物都造齐了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_02.wav,34156,到第七日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_03.wav,85804,神造物的工已经完毕
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_04.wav,178476,就在第七日歇了他一切的工安息了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_05.wav,127948,神赐福给第七日定为圣日
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_06.wav,169036,因为在这日神歇了他一切创造的工
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_07.wav,38988,就安息了
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_08.wav,66028,创造天地的来历
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_09.wav,183660,在耶和华神造天地的日子乃是这样
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_10.wav,76076,野地还没有草木
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_11.wav,115468,田间的菜蔬还没有长起来
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_12.wav,239404,因为耶和华神还没有降雨在地上也没有人耕地
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_13.wav,90156,但有雾气从地上腾
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_14.wav,39788,滋润遍地
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_15.wav,113452,耶和华神用地上的尘土造人
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_16.wav,96652,将生气吹在他鼻孔里
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_17.wav,90604,他就成了有灵的活人
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_18.wav,42188,名叫亚当
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_19.wav,165164,耶和华神在东方的伊甸立了一个园子
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_20.wav,105548,把所造的人安置在那里
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_21.wav,151884,耶和华神使各样的树从地里长出来
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_22.wav,58988,可以悦人的眼目
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_23.wav,282732,其上的果子好作食物园子当中又有生命树和分别善恶的树
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_24.wav,141388,有河从伊甸流出来滋润那园子
/Users/chibs/playground/bigdata-stack/themes/speech-reg/DeepSpeech/test/02_chunk_25.wav,72524,从那里分为四道
